epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,58551.3,0.36831,0.27378,0.79403,0.99949,1,0.995,0.95952,0.32922,0.2496,0.80044,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,58755.9,0.37674,0.25816,0.78754,0.99949,1,0.995,0.96395,0.29918,0.23572,0.79834,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,58960.9,0.37014,0.2596,0.78246,0.99949,1,0.995,0.96426,0.2837,0.22736,0.79649,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,59165.9,0.37754,0.26792,0.78263,0.99948,1,0.995,0.96333,0.29778,0.23268,0.79776,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,59371.3,0.39241,0.27669,0.79907,0.99927,1,0.995,0.96968,0.3132,0.24106,0.79859,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,59575.4,0.34963,0.24884,0.77,0.99892,1,0.995,0.96375,0.33087,0.23801,0.7985,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,59779.7,0.33486,0.23947,0.78067,0.99865,1,0.995,0.96042,0.33725,0.24085,0.79903,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,59984.2,0.37487,0.25533,0.78263,0.99827,1,0.995,0.95501,0.34885,0.24488,0.80038,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,60188.2,0.34532,0.24188,0.7919,0.998,1,0.995,0.95555,0.35614,0.24688,0.80067,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,60392.8,0.33604,0.24387,0.76733,0.99777,1,0.995,0.95766,0.34579,0.24293,0.79985,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,60596.7,0.32387,0.23138,0.78302,0.9978,1,0.995,0.95879,0.33921,0.24151,0.79941,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,60800.9,0.34615,0.24498,0.7834,0.99775,1,0.995,0.95685,0.34077,0.24035,0.79947,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,61005.7,0.33375,0.24295,0.78487,0.99772,1,0.995,0.95488,0.3495,0.23913,0.80012,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,61210.2,0.33819,0.24639,0.77566,0.99766,1,0.995,0.95048,0.35841,0.2396,0.80055,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
